departamento,year,variable,cantidad
Estelí,2012,Robos,204
Estelí,2012,Hurtos,117
Estelí,2012,Delitos sexuales,42
Estelí,2012,Lesiones,151
Estelí,2013,Denuncias,2044
Estelí,2013,Homicidios,5
Estelí,2013,Robos,168
Estelí,2013,Hurtos,102
Estelí,2013,Delitos sexuales,28
Estelí,2013,Lesiones,129
Estelí,2014,Denuncias,1984
Estelí,2014,Homicidios,6
Estelí,2014,Robos,146
Estelí,2014,Hurtos,71
Estelí,2014,Delitos sexuales,30
Estelí,2014,Lesiones,119
Estelí,2015,Denuncias,1817
Estelí,2015,Homicidios,5
Estelí,2015,Robos,156
Estelí,2015,Hurtos,62
Estelí,2015,Delitos sexuales,30
Estelí,2015,Lesiones,78
Estelí,2016,Denuncias,2070
Estelí,2016,Homicidios,3
Estelí,2016,Robos,206
Estelí,2016,Hurtos,87
Estelí,2016,Delitos sexuales,27
Estelí,2016,Lesiones,77
Estelí,2017,Denuncias,1971
Estelí,2017,Homicidios,2
Estelí,2017,Robos,175
Estelí,2017,Hurtos,93
Estelí,2017,Delitos sexuales,28
Estelí,2017,Lesiones,76
Estelí,2018,Denuncias,2349
Estelí,2018,Homicidios,11
Estelí,2018,Robos,195
Estelí,2018,Hurtos,108
Estelí,2018,Delitos sexuales,19
Estelí,2018,Lesiones,68
Estelí,2019,Denuncias,2526
Estelí,2019,Homicidios,6
Estelí,2019,Robos,159
Estelí,2019,Hurtos,96
Estelí,2019,Delitos sexuales,10
Estelí,2019,Lesiones,57
Granada,2007,Denuncias,3201
Granada,2007,Homicidios,6
Granada,2007,Robos,622
Granada,2007,Hurtos,667
Granada,2007,Delitos sexuales,100
Granada,2007,Lesiones,328
Granada,2008,Denuncias,3896
Granada,2008,Homicidios,10
Granada,2008,Robos,730
Granada,2008,Hurtos,803
Granada,2008,Delitos sexuales,99
Granada,2008,Lesiones,454
Granada,2009,Denuncias,4024
Granada,2009,Homicidios,11
Granada,2009,Robos,679
Granada,2009,Hurtos,201
Granada,2009,Delitos sexuales,51
Granada,2009,Lesiones,198
Granada,2010,Denuncias,3918
Granada,2010,Homicidios,3
Granada,2010,Robos,609
Granada,2010,Hurtos,193
Granada,2010,Delitos sexuales,64
Granada,2010,Lesiones,246
Granada,2011,Denuncias,3863
Granada,2011,Homicidios,6
Granada,2011,Robos,588
Granada,2011,Hurtos,185
Granada,2011,Delitos sexuales,51
Granada,2011,Lesiones,255
Granada,2012,Denuncias,3776
Granada,2012,Homicidios,4
Granada,2012,Robos,471
Granada,2012,Hurtos,157
Granada,2012,Delitos sexuales,71
Granada,2012,Lesiones,237
Granada,2013,Denuncias,3453
Granada,2013,Homicidios,6
Granada,2013,Robos,407
Granada,2013,Hurtos,103
Granada,2013,Delitos sexuales,80
Granada,2013,Lesiones,208
Granada,2014,Denuncias,2789
Granada,2014,Homicidios,5
Granada,2014,Robos,335
Granada,2014,Hurtos,76
Granada,2014,Delitos sexuales,69
Granada,2014,Lesiones,249
Granada,2015,Denuncias,1918
Granada,2015,Homicidios,7
Granada,2015,Robos,244
Granada,2015,Hurtos,61
Granada,2015,Delitos sexuales,51
Granada,2015,Lesiones,176
Granada,2016,Denuncias,2419
Granada,2016,Homicidios,5
Granada,2016,Robos,284
Granada,2016,Hurtos,58
Granada,2016,Delitos sexuales,49
Granada,2016,Lesiones,171
Granada,2017,Denuncias,1841
Granada,2017,Homicidios,3
Granada,2017,Robos,199
Granada,2017,Hurtos,44
Granada,2017,Delitos sexuales,53
Granada,2017,Lesiones,97
Granada,2018,Denuncias,1526
Granada,2018,Homicidios,2
Granada,2018,Robos,134
Granada,2018,Hurtos,30
Granada,2018,Delitos sexuales,43
Granada,2018,Lesiones,54
Granada,2019,Denuncias,1569
Granada,2019,Homicidios,3
Granada,2019,Robos,101
Granada,2019,Hurtos,23
Granada,2019,Delitos sexuales,37
Granada,2019,Lesiones,56
Jinotega,2007,Denuncias,1051
Jinotega,2007,Homicidios,16
Jinotega,2007,Robos,135
Jinotega,2007,Hurtos,114
Jinotega,2007,Delitos sexuales,82
Jinotega,2007,Lesiones,118
Jinotega,2008,Denuncias,1109
Jinotega,2008,Homicidios,17
Jinotega,2008,Robos,152
Jinotega,2008,Hurtos,98
Jinotega,2008,Delitos sexuales,70
Jinotega,2008,Lesiones,108
Jinotega,2009,Denuncias,1006
Jinotega,2009,Homicidios,19
Jinotega,2009,Robos,153
Jinotega,2009,Hurtos,53
Jinotega,2009,Delitos sexuales,38
Jinotega,2009,Lesiones,77
Jinotega,2010,Denuncias,843
Jinotega,2010,Homicidios,20
Jinotega,2010,Robos,132
Jinotega,2010,Hurtos,45
Jinotega,2010,Delitos sexuales,32
Jinotega,2010,Lesiones,79
Jinotega,2011,Denuncias,867
Jinotega,2011,Homicidios,21
Jinotega,2011,Robos,125
Jinotega,2011,Hurtos,50
Jinotega,2011,Delitos sexuales,40
Jinotega,2011,Lesiones,92
Jinotega,2012,Denuncias,995
Jinotega,2012,Homicidios,20
Jinotega,2012,Robos,132
Jinotega,2012,Hurtos,42
Jinotega,2012,Delitos sexuales,47
Jinotega,2012,Lesiones,73
Jinotega,2013,Denuncias,819
Jinotega,2013,Homicidios,16
Jinotega,2013,Robos,82
Jinotega,2013,Hurtos,27
Jinotega,2013,Delitos sexuales,39
Jinotega,2013,Lesiones,50
Jinotega,2014,Denuncias,798
Jinotega,2014,Homicidios,14
Jinotega,2014,Robos,63
Jinotega,2014,Hurtos,22
Jinotega,2014,Delitos sexuales,42
Jinotega,2014,Lesiones,49
Jinotega,2015,Denuncias,583
